"","LL_GSPover100_by_GST","LL_GSPover100_plus_GST","LL_GST","LL_GSPover100","LW_GSPover100_by_GST","LW_GSPover100_plus_GST","LW_GST","LW_GSPover100","LA_GSPover100_by_GST","LA_GSPover100_plus_GST","LA_GST","LA_GSPover100"
"AIC.OLS",1156.43364588481,1154.54788450997,1199.02806551375,1161.45816535374,1496.87402065196,1535.52005537944,1674.92860285274,1629.1299649597,3140.51996170491,3153.04973769541,3279.15539587091,3212.94565156174
"OLS.coef.(Intercept)",1.30531274315704,1.3046217518912,1.3046217518912,1.3046217518912,-0.27666979472688,-0.262222488808279,-0.262222488808279,-0.262222488808279,1.02864294843015,1.04239926308291,1.04239926308291,1.04239926308291
"OLS.se.(Intercept)",0.00828437313533968,0.00802553362813659,0.00813037671108284,0.00804366845754255,0.00912966157550023,0.00894731150924508,0.00931311500014016,0.00919218102660033,0.0145939296460362,0.014196236083319,0.0147206445973253,0.01444510247361
"OLS.t.(Intercept)",157.563248520133,162.558879239798,160.462644998087,162.192382589794,-30.3044962224376,-29.3074057539329,-28.1562601561704,-28.5266889380725,70.4843022666983,73.4278619322033,70.8120664276014,72.1628153893186
"OLS.t.P.(Intercept)",0,0,0,0,1.73549673176637e-162,6.17897015549617e-154,3.5216478492621e-144,2.61719497255989e-147,0,0,0,0
"OLS.coef.GSPover100",0.207060726901711,0.208459766592376,NA,0.239079843603536,0.440192942859039,0.410941698447522,NA,0.524163554357613,0.64725366976075,0.619401465039898,NA,0.763243397961148
"OLS.se.GSPover100",0.0306887768391703,0.0304000071176212,NA,0.0286832317985653,0.0338200781314984,0.033891619693802,NA,0.0327787576666111,0.0540620084099331,0.0537740788305103,NA,0.051510355603489
"OLS.t.GSPover100",6.7471156633856,6.85722755872461,NA,8.33517803302398,13.0157281466794,12.1251714187821,NA,15.9909524237867,11.9724310804892,11.5185881099364,NA,14.8172807005326
"OLS.t.P.GSPover100",2.04408822131885e-11,9.70395891900665e-12,NA,1.54455791504524e-16,4.93677603368297e-37,1.50979545511943e-32,NA,7.9341950335592e-54,8.367291310615e-32,1.21056796673639e-29,NA,6.94432443482255e-47
"OLS.coef.GST",0.184491786629884,0.185455466326292,0.329093305470288,NA,0.705895246736988,0.685746547223938,0.968903237572666,NA,0.890387033366872,0.87120201355023,1.29799654304295,NA
"OLS.se.GST",0.062184438896327,0.0621031563279862,0.0592276603992047,NA,0.0685293712766307,0.0692360547123959,0.0678435984073334,NA,0.10954544315006,0.109853264543115,0.107236032234434,NA
"OLS.t.GST",2.96684813603394,2.98624864325484,5.55641237982629,NA,10.3006234201029,9.90447173907447,14.2814246342796,NA,8.12801525798917,7.93059739438421,12.1041082553795,NA
"OLS.t.P.GST",0.00304953861603393,0.0028634720872052,3.17779166460024e-08,NA,3.38894023092653e-24,1.54065075438115e-22,7.51974398125647e-44,NA,8.17171921718617e-16,3.85556703394876e-15,1.9105226219591e-32,NA
"OLS.coef.GSPover100:GST",-0.053217413138365,NA,NA,NA,1.11267433586481,NA,NA,NA,1.05945692272645,NA,NA,NA
"OLS.se.GSPover100:GST",0.157629149859937,NA,NA,NA,0.173712696077882,NA,NA,NA,0.277682895934177,NA,NA,NA
"OLS.t.GSPover100:GST",-0.337611496259746,NA,NA,NA,6.40525627076769,NA,NA,NA,3.81534814797375,NA,NA,NA
"OLS.t.P.GSPover100:GST",0.735696514380432,NA,NA,NA,1.92468324275631e-10,NA,NA,NA,0.000140721687496574,NA,NA,NA
"OLS.F.(Intercept)",26412.0024940697,26425.3892196994,25748.260439782,26306.368970154,878.581217095769,858.924032025658,792.77498598195,813.771981769547,5433.44277322666,5391.65090793471,5014.34875174704,5207.47192491288
"OLS.F.P.(Intercept)",0,0,0,0,8.94413873796529e-157,6.17897015549617e-154,3.5216478492621e-144,2.61719497255989e-147,0,0,0,0
"OLS.F.GSPover100",69.7541712695579,69.7895256487845,NA,69.4751928422054,276.075484966646,269.898632109208,NA,255.71055941981,229.078946222101,227.316962731834,NA,219.551807358375
"OLS.F.P.GSPover100",1.3491683751824e-16,1.32559836384076e-16,NA,1.54455791504524e-16,1.12387393535993e-57,1.63265116794409e-56,NA,7.9341950335592e-54,1.00687504989721e-48,2.1943245629134e-48,NA,6.94432443482255e-47
"OLS.F.GST",8.91316338924003,8.91768095934137,30.8737185346868,NA,100.343626915153,98.0985604301248,203.959089584609,NA,63.3818830871075,62.8943750318136,146.509436657946,NA
"OLS.F.P.GST",0.00287055028976528,0.0028634720872052,3.17779166460024e-08,NA,5.27410822449166e-23,1.54065075438115e-22,7.51974398125647e-44,NA,3.03729524138458e-15,3.85556703394876e-15,1.9105226219591e-32,NA
"OLS.F.GSPover100:GST",0.113981522406744,NA,NA,NA,41.0273078942088,NA,NA,NA,14.5568814902467,NA,NA,NA
"OLS.F.P.GSPover100:GST",0.735696514380432,NA,NA,NA,1.92468324275631e-10,NA,NA,NA,0.000140721687496574,NA,NA,NA
"OLS.resid.norm.P",2.00710961718806e-11,1.99411821559921e-11,1.2640613928956e-09,1.65751441474267e-11,0.80202155017802,0.93060706429109,0.0111159430097762,0.0504572255086282,1.461294997559e-05,8.15534589578995e-06,0.00121726440702815,5.27295977202242e-05
"AIC.PGLS",565.114188975263,566.019069862649,596.136383905717,567.483646673208,672.092867141827,679.798383601335,699.165330489034,689.781153697812,2492.1760655481,2498.12291192604,2532.00585894105,2505.87073554196
"lambda",0.852921571432895,0.851577004497277,0.853185370127944,0.850832316495346,0.831613891567027,0.832656752198141,0.83703008147579,0.833608786178391,0.846022143517596,0.845207439285006,0.849376327431427,0.844996117293471
"lambda.P",0,0,0,0,0,0,0,0,0,0,0,0
"PGLS.coef.(Intercept)",1.32191746190963,1.33211029412809,1.35271873321855,1.34060998954892,0.0484625445956798,0.0677701488569157,0.0859960145987447,0.0842537003898034,1.37377895386917,1.4027869962677,1.44163575129238,1.42750858820488
"PGLS.se.(Intercept)",0.217414655837675,0.216764902573947,0.219495038193945,0.216491630970922,0.213604299627649,0.214536606375256,0.2178474862232,0.215608683970463,0.370835842207526,0.370734071545028,0.378002494617571,0.371396047333085
"PGLS.t.(Intercept)",6.08016721235477,6.14541504787036,6.16286702582903,6.19243332195591,0.226880005131727,0.315890840271687,0.394753302366021,0.39077136800921,3.70454739674377,3.78380921511099,3.81382602448404,3.84362891973544
"PGLS.t.P.(Intercept)",1.47092867366111e-09,9.85438944663487e-10,8.84655612500976e-10,7.36556096756319e-10,0.820543579430213,0.752123055294098,0.693073065886837,0.696013805598441,0.000218352627218295,0.000159648264494628,0.000141578935348022,0.000125561065097139
"PGLS.coef.GSPover100",0.188318337856729,0.17338359453186,NA,0.18217084904013,0.174109049431417,0.146323765527761,NA,0.162963868967668,0.361275503902324,0.31870916325816,NA,0.344196189949224
"PGLS.se.GSPover100",0.0317002469092371,0.030476101086703,NA,0.0301349133758895,0.0326959669785768,0.0315423741556792,NA,0.031265507255538,0.0549539770076888,0.0529360767730093,NA,0.0524370983945021
"PGLS.t.GSPover100",5.94059530185727,5.68916588242677,NA,6.04517579884209,5.32509252732905,4.63895852625333,NA,5.21225731716865,6.57414665096535,6.02064192676743,NA,6.5639823805604
"PGLS.t.P.GSPover100",3.41918855652796e-09,1.49359425393827e-08,NA,1.81996509086778e-09,1.1396084526231e-07,3.76186759562556e-06,NA,2.08656243334877e-07,6.44165395438067e-11,2.11215500868586e-09,NA,6.88320655097757e-11
"PGLS.coef.GST",0.16429027364185,0.150050027861133,0.221049575300504,NA,0.315399881130069,0.288835338291149,0.347648212297801,NA,0.477697816881063,0.437301489473568,0.567095013382892,NA
"PGLS.se.GST",0.0809956203243813,0.0806228500048751,0.0803564657581509,NA,0.0835877980954532,0.0833588832413427,0.0828397939401224,NA,0.1404377819919,0.139988472037685,0.139663933067978,NA
"PGLS.t.GST",2.02838465813188,1.86113524704299,2.7508623383935,NA,3.77327658242532,3.46496170605964,4.19663299197829,NA,3.40149075345418,3.12383929268008,4.06042562976423,NA
"PGLS.t.P.GST",0.0426723592207642,0.0628927525415495,0.00600509378559789,NA,0.000166489957543713,0.000543104928365115,2.84496328262509e-05,NA,0.000685292065997863,0.00181435498611417,5.11449250615079e-05,NA
"PGLS.coef.GSPover100:GST",0.241349669037678,NA,NA,NA,0.457997374526479,NA,NA,NA,0.693424887514198,NA,NA,NA
"PGLS.se.GSPover100:GST",0.141566946031978,NA,NA,NA,0.146952362902062,NA,NA,NA,0.245952098458178,NA,NA,NA
"PGLS.t.GSPover100:GST",1.70484478052638,NA,NA,NA,3.11663838186608,NA,NA,NA,2.81934934428749,NA,NA,NA
"PGLS.t.P.GSPover100:GST",0.0884010682011577,NA,NA,NA,0.00185902078038141,NA,NA,NA,0.00486635940416323,NA,NA,NA
"PGLS.F.(Intercept)",39.6068770861816,39.8089029574375,38.8202268941014,39.888600998859,0.251654687707285,0.250551258558543,0.248167686680038,0.249109355265915,15.9015299757523,15.8920361274182,15.310885778937,15.8266839886051
"PGLS.F.P.(Intercept)",3.91730713950458e-10,3.54001184002656e-10,5.80780501054148e-10,3.40111526426222e-10,0.615975537838421,0.616750165495001,0.618430828774529,0.617765641477696,6.94742442896026e-05,6.98188455598144e-05,9.46795201570247e-05,7.22478970451808e-05
"PGLS.F.GSPover100",36.6219628218414,36.5907645573404,NA,36.5441504389061,27.5325182098609,27.3659385123828,NA,27.1676263403782,43.4469099695628,43.2960403352279,NA,43.0858646923074
"PGLS.F.P.GSPover100",1.75057154565488e-09,1.77802996315399e-09,NA,1.81996509086778e-09,1.73300657181745e-07,1.88625659019118e-07,NA,2.08656243334877e-07,5.75075782438847e-11,6.19913551527927e-11,NA,6.88320655097757e-11
"PGLS.F.GST",3.47432586842283,3.46382440778576,7.56724360479175,NA,12.0716600242432,12.0059596244597,17.6117284693606,NA,9.79826219509349,9.75837192649201,16.4870562948462,NA
"PGLS.F.P.GST",0.0624956499638602,0.0628927525415495,0.00600509378559789,NA,0.000524430299955358,0.000543104928365115,2.84496328262509e-05,NA,0.00177564937321211,0.00181435498611417,5.11449250615079e-05,NA
"PGLS.F.GSPover100:GST",2.90649572568805,NA,NA,NA,9.7134348033208,NA,NA,NA,7.94873072513432,NA,NA,NA
"PGLS.F.P.GSPover100:GST",0.0884010682011577,NA,NA,NA,0.00185902078038141,NA,NA,NA,0.00486635940416323,NA,NA,NA
"PGLS.phy.resid.lambda",6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,0.0018107968426584,0.00151221617987836,0.00211606094998266,0.00123707326668015,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05
"PGLS.phy.resid.lambda.P",1,1,1,1,0.564992201668125,0.620012468698791,0.511364590714255,0.689633070028897,1,1,1,1
"PGLS.phy.resid.norm.P",1.509101754262e-11,2.74469795505382e-11,2.27879808286532e-09,1.32616178818397e-11,6.04372455887695e-06,4.35344775749302e-06,1.03653412264985e-05,3.84316572985842e-06,0.000763601991237967,0.00133067335900463,0.0147646386840581,0.000732528280854751
