"","CH_GSPover100_by_GST","CH_GSPover100_plus_GST","CH_GST","CH_GSPover100"
"AIC.OLS",1042.25353674842,1044.31499389055,1163.08768217682,1093.95496426375
"OLS.coef.(Intercept)",1.92443622713287,1.92847018512714,1.92832841685257,1.92857919002372
"OLS.se.(Intercept)",0.00810394526107408,0.00785951113875635,0.00813649169852319,0.00797543702223792
"OLS.t.(Intercept)",237.469055519979,245.367701766791,236.997527718558,241.81486038273
"OLS.t.P.(Intercept)",0,0,0,0
"OLS.coef.GSPover100",0.34133346943564,0.332928621365265,NA,0.405703974786729
"OLS.se.GSPover100",0.030057822423683,0.0297931022516292,NA,0.0284567946391751
"OLS.t.GSPover100",11.3558948025023,11.1746879715106,NA,14.2568402355554
"OLS.t.P.GSPover100",7.14144019900459e-29,4.84674990008077e-28,NA,1.10426763031487e-43
"OLS.coef.GST",0.444397369413357,0.438459474439164,0.667177297324561,NA
"OLS.se.GST",0.0606306877217168,0.0606125747935721,0.0590629927236203,NA
"OLS.t.GST",7.32957824019835,7.233803809398,11.2960293164715,NA
"OLS.t.P.GST",3.53149494729332e-13,7.03149761083149e-13,1.34547738137087e-28,NA
"OLS.coef.GSPover100:GST",0.30950946386979,NA,NA,NA
"OLS.se.GSPover100:GST",0.153667084267756,NA,NA,NA
"OLS.t.GSPover100:GST",2.01415589646048,NA,NA,NA
"OLS.t.P.GSPover100:GST",0.0441481434953169,NA,NA,NA
"OLS.F.(Intercept)",60311.7341874076,60205.1082208713,56175.7534484475,58467.4068664021
"OLS.F.P.(Intercept)",0,0,0,0
"OLS.F.GSPover100",209.669157171822,209.298480108104,NA,203.257493502152
"OLS.F.P.GSPover100",6.25584897989999e-45,7.36235178170948e-45,NA,1.10426763031487e-43
"OLS.F.GST",52.4205926588577,52.3279175528611,127.600278318585,NA
"OLS.F.P.GST",6.71826028912368e-13,7.03149761083149e-13,1.34547738137087e-28,NA
"OLS.F.GSPover100:GST",4.05682397524652,NA,NA,NA
"OLS.F.P.GSPover100:GST",0.0441481434953169,NA,NA,NA
"OLS.resid.norm.P",1.05328135602394e-21,9.36882721033941e-22,2.62114635983545e-23,1.34232618175303e-23
"AIC.PGLS",269.114212952833,267.923762896992,291.675775816245,287.471882512097
"lambda",0.845967035565039,0.845848957233109,0.846691749617608,0.845146507011152
"lambda.P",0,0,0,0
"PGLS.coef.(Intercept)",1.96856514226406,1.97349972831355,1.99024569523417,1.99307637752734
"PGLS.se.(Intercept)",0.19655524214988,0.196414727021241,0.198179712834376,0.197223442141855
"PGLS.t.(Intercept)",10.0153276032341,10.0476158699654,10.0426308362727,10.1056768702667
"PGLS.t.P.(Intercept)",5.46606548649295e-23,4.00973213400295e-23,4.20253011633069e-23,2.29334371889074e-23
"PGLS.coef.GSPover100",0.150266053323532,0.142998407667322,NA,0.163227557354681
"PGLS.se.GSPover100",0.0292398899672806,0.0280973814101906,NA,0.0279273998026708
"PGLS.t.GSPover100",5.13907725000607,5.08938557581947,NA,5.8447101594854
"PGLS.t.P.GSPover100",3.07440752436641e-07,3.98418438870345e-07,NA,6.05351234902437e-09
"PGLS.coef.GST",0.35286452552419,0.345864931770946,0.404387098361564,NA
"PGLS.se.GST",0.0747480262953977,0.0743378382325935,0.0739668179911285,NA
"PGLS.t.GST",4.72072030543923,4.65260949193572,5.46714201508663,NA
"PGLS.t.P.GST",2.53992666488739e-06,3.52735720441646e-06,5.24144646790506e-08,NA
"PGLS.coef.GSPover100:GST",0.117430598546481,NA,NA,NA
"PGLS.se.GSPover100:GST",0.130646042010823,NA,NA,NA
"PGLS.t.GSPover100:GST",0.898845435644749,NA,NA,NA
"PGLS.t.P.GSPover100:GST",0.368860441753194,NA,NA,NA
"PGLS.F.(Intercept)",105.429100026955,105.497852529163,103.597398160261,104.58690280202
"PGLS.F.P.(Intercept)",4.76397348834501e-24,4.60667013900348e-24,1.13704469418405e-23,7.09928982180202e-24
"PGLS.F.GSPover100",34.5644399909472,34.5683844360095,NA,34.1606368483919
"PGLS.F.P.GSPover100",4.94027932122353e-09,4.92996564747492e-09,NA,6.05351234902437e-09
"PGLS.F.GST",21.6448518237549,21.6467750844503,29.8896418131255,NA
"PGLS.F.P.GST",3.53100083767199e-06,3.52735720441646e-06,5.24144646790506e-08,NA
"PGLS.F.GSPover100:GST",0.807923117179399,NA,NA,NA
"PGLS.F.P.GSPover100:GST",0.368860441753194,NA,NA,NA
"PGLS.phy.resid.lambda",6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05
"PGLS.phy.resid.lambda.P",1,1,1,1
"PGLS.phy.resid.norm.P",2.22063833411624e-11,4.28880303783788e-11,1.41363161533344e-10,4.01407489723438e-10
