"","LL_GSPover100_by_GST","LL_GSPover100_plus_GST","LL_GST","LL_GSPover100","LW_GSPover100_by_GST","LW_GSPover100_plus_GST","LW_GST","LW_GSPover100","LA_GSPover100_by_GST","LA_GSPover100_plus_GST","LA_GST","LA_GSPover100"
"AIC.OLS",1144.54875078828,1143.88638431017,1179.66802206615,1147.01021917537,1469.59343506392,1503.42400826896,1652.10710063184,1603.87342836577,3090.24961541241,3107.65248977762,3230.3884473933,3164.41206213385
"OLS.coef.(Intercept)",1.30500561767065,1.30730286546261,1.30897709863859,1.30787375324943,-0.278917390048875,-0.265786065852595,-0.262012959204484,-0.262912079061723,1.02608822762179,1.04151679961003,1.04696413943412,1.04496167418772
"OLS.se.(Intercept)",0.00836289704193496,0.00812391336676569,0.00820651267337562,0.00812971621304762,0.00919013031417214,0.00901731620627578,0.00941238038403325,0.00928224883539237,0.0147085772059292,0.0143633563217234,0.0148801745219034,0.0145990861894469
"OLS.t.(Intercept)",156.047074491868,160.920335611983,159.504670343751,160.875695900724,-30.3496664915355,-29.4750743760784,-27.8370559320946,-28.324179164349,69.7612157352755,72.5120770021433,70.3596680195524,71.5771974100052
"OLS.t.P.(Intercept)",0,0,0,0,2.23361662936369e-162,6.50647837358324e-155,4.09842132380562e-141,3.41614180842347e-145,0,0,0,0
"OLS.coef.GSPover100",0.192776725185762,0.195863964032971,NA,0.214726933965867,0.423758434845747,0.441405435885803,NA,0.536366175413146,0.616535160031509,0.637269399918775,NA,0.751093109379013
"OLS.se.GSPover100",0.0318273826475656,0.0317181195519662,NA,0.0306402093097745,0.0349756540853542,0.0352062239657297,NA,0.0349840067880076,0.0559776728790215,0.0560787187667031,NA,0.0550227147976184
"OLS.t.GSPover100",6.05694559682894,6.17514426452907,NA,7.00801132900118,12.1158115817252,12.5377102729186,NA,15.3317536971497,11.0139476745302,11.3638366555756,NA,13.6506007044844
"OLS.t.P.GSPover100",1.70029336815934e-09,8.22970697826335e-10,NA,3.45715075585084e-12,1.76159584966626e-32,1.43378928870618e-34,NA,7.88549987757318e-50,2.61606813199658e-27,6.60491851750997e-29,NA,2.33351815154411e-40
"OLS.coef.GST",0.13536312742212,0.144827532918984,0.248656056366368,NA,0.674997130728151,0.729096726487532,0.963088083069887,NA,0.810360258150274,0.873924259406519,1.21174413943626,NA
