"","LL_MAPover50_by_MATplus20","LL_MAPover50_plus_MATplus20","LL_MATplus20","LL_MAPover50","LW_MAPover50_by_MATplus20","LW_MAPover50_plus_MATplus20","LW_MATplus20","LW_MAPover50","LA_MAPover50_by_MATplus20","LA_MAPover50_plus_MATplus20","LA_MATplus20","LA_MAPover50"
"AIC.OLS",1146.93076818565,1145.32115619301,1185.29159664539,1150.20411443354,1490.38683232223,1518.64540862107,1705.77242683148,1620.85055697603,3104.15972147092,3116.63842785387,3265.83160104546,3177.48862444732
"OLS.coef.(Intercept)",1.3068540623475,1.30725190301102,1.30786728922033,1.30921621001766,-0.272073464676544,-0.268186994191522,-0.266699419058856,-0.259547634639237,1.03478059767097,1.03906490881951,1.04116787016149,1.04966857537844
"OLS.se.(Intercept)",0.00817827019630176,0.00815194306155845,0.00824888448474004,0.00813136184021005,0.00903538649185654,0.00908470150911636,0.00959380045388927,0.0093213365690552,0.0144320570782383,0.0144445312020167,0.0150869941312199,0.0146439781616794
"OLS.t.(Intercept)",159.795901942499,160.360774497498,158.550806674503,161.008234013583,-30.1119896666025,-29.5207271171651,-27.7991417833521,-27.8444655137632,71.7001458670284,71.9348308565694,69.0109548068937,71.6791956249446
"OLS.t.P.(Intercept)",0,0,0,0,2.44657505737772e-160,2.65783201202505e-155,8.49173541672745e-141,3.55440858024973e-141,0,0,0,0
"OLS.coef.MAPover50",0.221908603728577,0.228985920963164,NA,0.237446925583932,0.484390738937605,0.553528429142544,NA,0.590741380501565,0.706299342666183,0.782514350105708,NA,0.828188306085498
"OLS.se.MAPover50",0.036950594765796,0.0351613326306973,NA,0.0350729665778279,0.0408231688118976,0.0391845489106705,NA,0.0402056792418812,0.0652060985923368,0.0623028108088255,NA,0.0631638053654438
"OLS.t.MAPover50",6.00554889941828,6.51243578758018,NA,6.77008387804981,11.8655840062184,14.1261911781715,NA,14.692983470012,10.8317988334482,12.5598562881349,NA,13.1117544500983
"OLS.t.P.MAPover50",2.32168709738437e-09,9.6791972790613e-11,NA,1.75988014630226e-11,2.8616888063262e-31,5.97910211223712e-43,NA,3.93793436007362e-46,1.70722072057737e-26,1.10974402220409e-34,NA,1.65923333165623e-37
"OLS.coef.MATplus20",0.272185524952765,0.283240776478041,0.347712576208594,NA,1.1377437960818,1.24574157684496,1.40158947298957,NA,1.40992932103457,1.528982353323,1.74930204919817,NA
"OLS.se.MATplus20",0.109410106762149,0.107947541345726,0.108778221856485,NA,0.120876735175408,0.120299072793258,0.126513658440799,NA,0.193074191464292,0.191273616286916,0.198952524767358,NA
"OLS.t.MATplus20",2.48775486111608,2.62387427214206,3.19652748752728,NA,9.41242989753805,10.3553713916469,11.0785625067149,NA,7.30252609290519,7.99369187974927,8.79256019114956,NA
"OLS.t.P.MATplus20",0.0129493689875903,0.00877048157730883,0.0014161709666453,NA,1.49884194563448e-20,2.02967663066174e-24,1.33308677513555e-27,NA,4.2998179018464e-13,2.37971144570332e-15,3.47162084498166e-18,NA
"OLS.coef.MAPover50:MATplus20",0.310833284662117,NA,NA,NA,3.03650304600314,NA,NA,NA,3.34733633066527,NA,NA,NA
"OLS.se.MAPover50:MATplus20",0.49803444883395,NA,NA,NA,0.550230503940597,NA,NA,NA,0.878873089293481,NA,NA,NA
"OLS.t.MAPover50:MATplus20",0.62412004910478,NA,NA,NA,5.51860179371472,NA,NA,NA,3.80866859099778,NA,NA,NA
"OLS.t.P.MAPover50:MATplus20",0.532631563184878,NA,NA,NA,3.93837691574762e-08,NA,NA,NA,0.000144627300474746,NA,NA,NA
"OLS.F.(Intercept)",26057.8321150239,26067.0840227766,25454.5793990793,25978.2550522652,819.863854778541,806.06009175459,722.684973178465,759.19648661375,5409.41725657279,5367.27182664771,4919.22506348461,5178.02535051565
"OLS.F.P.(Intercept)",0,0,0,0,9.1453663139812e-148,9.64974625940668e-146,3.34553097358913e-133,9.43285602875433e-139,0,0,0,0
"OLS.F.MAPover50",45.9744353665881,45.990758721237,NA,45.83403571583,233.135028208223,229.20981469477,NA,215.883763250046,179.600658484927,178.201367839067,NA,171.918104759672
"OLS.F.P.MAPover50",1.64181163733951e-11,1.62824900126509e-11,NA,1.75988014630226e-11,1.86313866032374e-49,1.05470354311474e-48,NA,3.93793436007362e-46,5.00994121280675e-39,9.45211590549289e-39,NA,1.65923333165623e-37
"OLS.F.MATplus20",6.88227262544724,6.88471619600901,10.2177879785175,NA,109.070091921875,107.23371665894,122.734547215188,NA,64.4008648649884,63.8991098683694,77.3091147149881,NA
"OLS.F.P.MATplus20",0.00878247596858214,0.00877048157730883,0.0014161709666453,NA,8.49688076544902e-25,2.02967663066174e-24,1.33308677513555e-27,NA,1.86229488632875e-15,2.37971144570332e-15,3.47162084498166e-18,NA
"OLS.F.MAPover50:MATplus20",0.389525835694553,NA,NA,NA,30.4549657575913,NA,NA,NA,14.505956436053,NA,NA,NA
"OLS.F.P.MAPover50:MATplus20",0.532631563184878,NA,NA,NA,3.93837691574762e-08,NA,NA,NA,0.000144627300474746,NA,NA,NA
"OLS.resid.norm.P",1.0359783246083e-11,1.45900526007242e-11,1.02709119294684e-11,9.55714485127948e-11,0.435111893159823,0.256677474419389,0.00695779118968191,0.00791190117452147,6.24920250239271e-06,5.03750628771929e-06,0.00113699209930923,4.29301113879595e-05
"AIC.PGLS",568.01692963549,569.669348793451,598.380230502557,568.094533604056,674.524268149319,684.479909954124,712.637785072821,686.630245203653,2464.27960898355,2472.18444022028,2511.58619897279,2472.68821375685
"lambda",0.85017625149796,0.848634907965925,0.850355038018701,0.848291448631978,0.832688714387727,0.83363281530286,0.83846293429175,0.833843170345672,0.845603667012714,0.84452162332753,0.848843585120608,0.844190626688957
"lambda.P",0,0,0,0,0,0,0,0,0,0,0,0
"PGLS.coef.(Intercept)",1.32965754277232,1.33764624660815,1.36483672099899,1.34137707113559,0.0550968525803448,0.0701157569210516,0.0988643233348294,0.0821837072061009,1.38773100843542,1.41031229768692,1.46626894042677,1.4259781871563
"PGLS.se.(Intercept)",0.216323588144684,0.215679268594534,0.218358259665895,0.215395933478475,0.214515329644784,0.21560003757131,0.219703755434998,0.215815799428441,0.371127828062214,0.371101606495616,0.379113729798009,0.370850556302474
"PGLS.t.(Intercept)",6.14661375662371,6.20201586979069,6.25044696311144,6.22749487176198,0.256843427794086,0.32521217394436,0.44998922817266,0.380804868891682,3.73922649692221,3.80034004973669,3.86762289302473,3.84515585300414
"PGLS.t.P.(Intercept)",9.81749385914683e-10,6.96591928558859e-10,5.14873763181425e-10,5.94298175345046e-10,0.797330380613853,0.745060048627463,0.652774880544255,0.703395045011673,0.000190634865518671,0.000149530662747193,0.000113992714791135,0.000124861856149564
"PGLS.coef.MAPover50",0.192240356107178,0.207910650745098,NA,0.20693621893121,0.183807885921435,0.213246076522212,NA,0.209939636271967,0.375329708343475,0.420211574563553,NA,0.416054521604784
"PGLS.se.MAPover50",0.0382279456915214,0.037376865339063,NA,0.0373400655093856,0.0394612071571393,0.0386496904247623,NA,0.0386513288714776,0.0662957471902683,0.0649249052203902,NA,0.0648990794451447
"PGLS.t.MAPover50",5.02879117958501,5.56254915598308,NA,5.54193507987273,4.65793874955447,5.51740710413526,NA,5.43162790004072,5.66144472685829,6.47227089723317,NA,6.41079234346383
"PGLS.t.P.MAPover50",5.45108846266533e-07,3.07750151062118e-08,NA,3.4553123060882e-08,3.43941643249309e-06,3.96444213005194e-08,NA,6.38111289390419e-08,1.75567649738968e-08,1.25570356074096e-10,NA,1.86478448440613e-10
"PGLS.coef.MATplus20",0.0718821301878008,0.0947577445397613,0.0624580320213336,NA,0.262416592620522,0.306321060253984,0.271778704233454,NA,0.33301202455676,0.399441075728886,0.333884585286231,NA
"PGLS.se.MATplus20",0.145750706216878,0.145368686634231,0.146491414398808,NA,0.150463699717742,0.150399114658329,0.15151952361436,NA,0.252768215124364,0.25254801018488,0.255252577441441,NA
"PGLS.t.MATplus20",0.493185467525897,0.651844263945135,0.426359676283129,NA,1.74405250643707,2.03672116654324,1.79368768954932,NA,1.31746004691656,1.58164412159285,1.30805568599138,NA
"PGLS.t.P.MATplus20",0.621944540953067,0.514588733548983,0.669899101005237,NA,0.0813286790433066,0.0418308566733323,0.0730385290928098,NA,0.187860031357063,0.113914690202046,0.191029104898497,NA
"PGLS.coef.MAPover50:MATplus20",0.883704940821781,NA,NA,NA,1.65307577604755,NA,NA,NA,2.52471866484347,NA,NA,NA
"PGLS.se.MAPover50:MATplus20",0.46220262735896,NA,NA,NA,0.477760850028831,NA,NA,NA,0.801849402633843,NA,NA,NA
"PGLS.t.MAPover50:MATplus20",1.91194270329292,NA,NA,NA,3.46004863300916,NA,NA,NA,3.14861949956002,NA,NA,NA
"PGLS.t.P.MAPover50:MATplus20",0.0560496292234556,NA,NA,NA,0.000553270214684745,NA,NA,NA,0.00166862317208381,NA,NA,NA
