"","CH_MAPover50_by_MATplus20","CH_MAPover50_plus_MATplus20","CH_MATplus20","CH_MAPover50"
"AIC.OLS",1023.68056563507,1037.63415271975,1160.35133373403,1087.79559293992
"OLS.coef.(Intercept)",1.92579124650983,1.92826586173218,1.92935763168738,1.93366898009558
"OLS.se.(Intercept)",0.00797668127500945,0.0079876895820243,0.00828309102814067,0.00807362922572504
"OLS.t.(Intercept)",241.427628874084,241.404706821808,232.927252052724,239.504307918219
"OLS.t.P.(Intercept)",0,0,0,0
"OLS.coef.MAPover50",0.348777914475967,0.392676885209343,NA,0.415637273691022
"OLS.se.MAPover50",0.0361071818512693,0.0345494985147348,NA,0.0349265167450294
"OLS.t.MAPover50",9.65951637855964,11.3656319799222,NA,11.9003356883613
"OLS.t.P.MAPover50",1.58682542936728e-21,6.67909334281567e-29,NA,2.01383223321148e-31
"OLS.coef.MATplus20",0.699594217368081,0.766857056653315,0.8763996928565,NA
"OLS.se.MATplus20",0.10633495841176,0.105458907173676,0.108909209288603,NA
"OLS.t.MATplus20",6.5791554143375,7.27161960241451,8.04706689710776,NA
"OLS.t.P.MATplus20",6.28548515611372e-11,5.39926361045507e-13,1.57751224979456e-15,NA
"OLS.coef.MAPover50:MATplus20",1.93941885465261,NA,NA,NA
"OLS.se.MAPover50:MATplus20",0.484991664553146,NA,NA,NA
"OLS.t.MAPover50:MATplus20",3.99887048871143,NA,NA,NA
"OLS.t.P.MAPover50:MATplus20",6.6379057520813e-05,NA,NA,NA
"OLS.F.(Intercept)",59785.4134930834,59261.9054428071,55102.3711911769,57505.0400543711
"OLS.F.P.(Intercept)",0,0,0,0
"OLS.F.MAPover50",147.23387814448,145.944631888937,NA,141.617989495685
"OLS.F.P.MAPover50",1.49263648639192e-32,2.7079533004817e-32,NA,2.01383223321148e-31
"OLS.F.MATplus20",53.3435518459318,52.876451642219,64.7552856465275,NA
"OLS.F.P.MATplus20",4.28848560656276e-13,5.39926361045507e-13,1.57751224979456e-15,NA
"OLS.F.MAPover50:MATplus20",15.9909651854872,NA,NA,NA
"OLS.F.P.MAPover50:MATplus20",6.6379057520813e-05,NA,NA,NA
"OLS.resid.norm.P",1.64775575585e-23,2.65253312747998e-22,3.7e-24,5.90698978788902e-24
"AIC.PGLS",244.896646194044,258.201018889431,277.219162674615,261.261439302682
"lambda",0.849975817524674,0.847435833260138,0.848593148649462,0.847003737404401
"lambda.P",0,0,0,0
"PGLS.coef.(Intercept)",1.97094592487117,1.98599284213737,2.00638108053851,1.99784815818306
"PGLS.se.(Intercept)",0.1967939620929,0.196435811148854,0.19807036557345,0.196405468895436
"PGLS.t.(Intercept)",10.015276403352,10.1101363876693,10.1296378927239,10.1720597161512
"PGLS.t.P.(Intercept)",5.59918003683304e-23,2.25303506741094e-23,1.86547300028411e-23,1.23821483041943e-23
"PGLS.coef.MAPover50",0.128162338271497,0.157573060839906,NA,0.154487214618238
"PGLS.se.MAPover50",0.0349551044597428,0.0342911703984364,NA,0.0343048158161124
"PGLS.t.MAPover50",3.66648420173082,4.59514968456986,NA,4.50336814068183
"PGLS.t.P.MAPover50",0.000253487228477883,4.64360504369377e-06,NA,7.14417039393779e-06
"PGLS.coef.MATplus20",0.258528351005338,0.299939498626318,0.275466714362672,NA
"PGLS.se.MATplus20",0.133184438730778,0.133344092283709,0.134013431613001,NA
"PGLS.t.MATplus20",1.94113031123653,2.24936473367078,2.05551571247093,NA
"PGLS.t.P.MATplus20",0.0524079449751749,0.0246170430346162,0.0399818496771565,NA
"PGLS.coef.MAPover50:MATplus20",1.65668583619231,NA,NA,NA
"PGLS.se.MAPover50:MATplus20",0.422739131369273,NA,NA,NA
"PGLS.t.MAPover50:MATplus20",3.91893182641084,NA,NA,NA
"PGLS.t.P.MAPover50:MATplus20",9.24769155448685e-05,NA,NA,NA
"PGLS.F.(Intercept)",105.202149616524,105.548515046682,103.759780475118,105.505481678485
"PGLS.F.P.(Intercept)",5.44575389052277e-24,4.61520711558775e-24,1.07917977703422e-23,4.70626169731065e-24
"PGLS.F.MAPover50",20.4829192553661,20.3262365114309,NA,20.2803246105081
"PGLS.F.P.MAPover50",6.43509280252411e-06,6.97703622825368e-06,NA,7.14417039393779e-06
"PGLS.F.MATplus20",5.10939865620297,5.05964170508184,4.22514484421487,NA
"PGLS.F.P.MATplus20",0.0239228876922015,0.0246170430346162,0.0399818496771565,NA
"PGLS.F.MAPover50:MATplus20",15.3580266600558,NA,NA,NA
"PGLS.F.P.MAPover50:MATplus20",9.24769155448685e-05,NA,NA,NA
"PGLS.phy.resid.lambda",6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05
"PGLS.phy.resid.lambda.P",1,1,1,1
"PGLS.phy.resid.norm.P",1.34402679996956e-10,1.3820394394254e-09,2.27503907790408e-08,4.97809480248747e-09
