tip.label	state(C3=0,C4=1)
Achnatherum_wallowaense	0
Aciachne_acicularis	0
Aciachne_flagellifera	0
Aciachne_pulvinata	0
Acidosasa_chinensis	0
Acidosasa_chinouensis	0
Acidosasa_edulis	0
Acidosasa_guangxiensis	0
Acidosasa_nanunica	0
Acidosasa_notata	0
Acidosasa_purpurea	0
Acritochaete_volkensii	0
Acroceras_excavatum	0
Acroceras_tonkinense	0
Acroceras_zizanioides	0
Aegilops_bicornis	0
Aegilops_biuncialis	0
Aegilops_caudata	0
Aegilops_columnaris	0
Aegilops_comosa	0
Aegilops_crassa	0
Aegilops_cylindrica	0
Aegilops_geniculata	0
Aegilops_juvenalis	0
Aegilops_kotschyi	0
Aegilops_longissima	0
Aegilops_peregrina	0
Aegilops_searsii	0
Aegilops_sharonensis	0
Aegilops_speltoides	0
Aegilops_tauschii	0
Aegilops_triuncialis	0
Aegilops_umbellulata	0
Aegilops_uniaristata	0
Aegilops_vavilovii	0
Aegilops_ventricosa	0
Agropogon_lutosus	0
Agropyron_brownei	0
Agropyron_cristatum	0
Agropyron_desertorum	0
Agropyron_fragile	0
Agropyron_mongolicum	0
Agropyron_retrofractum	0
Agropyron_velutinum	0
Agrostis_ammobia	0
Agrostis_avenacea	0
Agrostis_billardieri	0
Agrostis_botelhoi	0
Agrostis_canina	0
Agrostis_capillaris	0
Agrostis_castellana	0
Agrostis_clavata	0
Agrostis_congestiflora	0
Agrostis_durieui	0
Agrostis_exarata	0
Agrostis_gigantea	0
Agrostis_gracililaxa	0
Agrostis_hyemalis	0
Agrostis_idahoensis	0
Agrostis_imbecilla	0
Agrostis_imberbis	0
Agrostis_leptostachys	0
Agrostis_mertensii	0
Agrostis_meyenii	0
Agrostis_muelleriana	0
Agrostis_muscosa	0
Agrostis_nomnov4	0
Agrostis_pallens	0
Agrostis_pallescens	0
Agrostis_personata	0
Agrostis_petriei	0
Agrostis_scabra	0
Agrostis_stolonifera	0
Agrostis_tenerrima	0
Agrostis_thurberiana	0
Agrostis_uda	0
Agrostis_vinealis	0
Aira_caryophyllea	0
Aira_cupaniana	0
Aira_praecox	0
Airopsis_tenella	0
Alloteropsis_semialata_subsp._eckloniana	0
Alopecurus_aequalis	0
Alopecurus_geniculatus	0
Alopecurus_gerardii	0
Alopecurus_japonicus	0
Alopecurus_magellanicus	0
Alopecurus_myosuroides	0
Alopecurus_pratensis	0
Alopecurus_textilis	0
Alopecurus_vaginatus	0
Alvimia_gracilis	0
Ammochloa_palaestina	0
Ammophila_arenaria	0
Ammophila_breviligulata	0
Ammophila_champlainensis	0
Ampelocalamus_actinotrichus	0
Ampelocalamus_microphyllus	0
Ampelocalamus_patellaris	0
Ampelocalamus_scandens	0
Ampelodesmos_mauritanicus	0
Amphicarpum_amphicarpon	0
Amphicarpum_muhlenbergianum	0
Amphipogon_caricinus	0
Ancistrachne_uncinulata	0
Aniselytron_treutleri	0
Anisopogon_avenaceus	0
Anthenantia_rufa	0
Anthochloa_lepidula	0
Anthoxanthum_amarum	0
Anthoxanthum_aristatum	0
Anthoxanthum_odoratum	0
Antinoria_agrostidea	0
Apera_interrupta	0
Apera_spica-venti	0
Aphanelytrum_peruvianum	0
Aphanelytrum_procumbens	0
Arctagrostis_latifolia	0
Arctophila_fulva	0
Aristida_longifolia	0
Arrhenatherum_album	0
Arrhenatherum_calderae	0
Arrhenatherum_elatius	0
Arrhenatherum_longifolium	0
Arrhenatherum_palaestinum	0
Arthrostylidium_ecuadorense	0
Arthrostylidium_excelsum	0
Arthrostylidium_merostachyoides	0
Arundinaria_appalachiana	0
Arundinaria_chino	0
Arundinaria_faberi	0
Arundinaria_fargesii	0
Arundinaria_gigantea	0
Arundinaria_graminea	0
Arundinaria_humilis	0
Arundinaria_kongosanensis	0
Arundinaria_linearis	0
Arundinaria_nagashima	0
Arundinaria_qingchengshanensis	0
Arundinaria_simonii	0
Arundinaria_spanostachya	0
Arundinaria_tecta	0
Arundo_donax	0
Arundo_formosana	0
Atractantha_radiata	0
Aulonemia_clarkiae	0
Aulonemia_fulgor	0
Aulonemia_laxa	0
Aulonemia_patula	0
Australopyrum_calcis	0
Austrofestuca_eriopoda	0
Austrofestuca_hookeriana	0
Austrofestuca_littoralis	0
Austrofestuca_triticoides	0
Avena_abyssinica	0
Avena_barbata	0
Avena_brevis	0
Avena_clauda	0
Avena_eriantha	0
Avena_fatua	0
Avena_insularis	0
Avena_longiglumis	0
Avena_maroccana	0
Avena_murphyi	0
Avena_nuda	0
Avena_prostrata	0
Avena_sativa	0
Avena_sterilis	0
Avena_strigosa	0
Avena_vaviloviana	0
