,GenusSpecies,C3C4,MAT,MAT.20,MAP,PET,AI,AvgPrecipGS,AvgTempGS,Length.of.growing.season,LL,LW,LA,CH,tip.label
1,Aciachne acicularis,C3,7.16,27.2,1057,2.87,1.12,1057.040224,7.159675383,12,1,0.04,0.04,3,Aciachne_acicularis
2,Aciachne flagellifera,C3,6.08,26.1,1124,2.71,1.4,1122.68779,6.082532266,12,1,0.04,0.04,3,Aciachne_flagellifera
3,Aciachne pulvinata,C3,6.56,26.6,1026,2.73,1.27,1026.08973,6.558593982,12,1,0.04,0.04,3,Aciachne_pulvinata
4,Acrachne racemosa,C4,24.5,44.5,545,5.07,0.34,544.9570507,24.53263778,12,75,1.15,86.25,75,Acrachne_racemosa
5,Acroceras tonkinense,C3,25.8,45.8,2002,3.29,1.86,1955.76367,25.8645195,11,20,2,40,100,Acroceras_tonkinense
6,Acroceras zizanioides,C3,25,45,1833,3.42,1.5,1832.819179,25.01105676,12,15,2.6,39,100,Acroceras_zizanioides
7,Aegilops biuncialis,C3,14.8,34.8,571,3.24,0.5,573.9345436,14.76395391,12,5,0.3,1.5,30,Aegilops_biuncialis
8,Aegilops caudata,C3,15.6,35.6,596,3.24,0.5,599.4618188,15.55086091,12,5,0.2,1,50,Aegilops_caudata
9,Aegilops columnaris,C3,14.5,34.5,551,3.49,0.41,464.6299525,15.46761644,11,6,0.45,2.7,50,Aegilops_columnaris
10,Aegilops comosa,C3,15.6,35.6,600,2.98,0.56,601.9308864,15.58823698,12,6,0.2,1.2,40,Aegilops_comosa
11,Aegilops crassa,C3,16.3,36.3,309,4.07,0.23,261.2841289,17.43323058,11,20,1,20,50,Aegilops_crassa
12,Aegilops cylindrica,C3,11.3,31.3,583,2.87,0.62,440.0080421,14.79194558,9,12,0.5,6,40,Aegilops_cylindrica
13,Aegilops geniculata,C3,14.5,34.5,573,3.25,0.5,574.7044133,14.50514775,12,8,0.3,2.4,30,Aegilops_geniculata
14,Aegilops kotschyi,C3,17.3,37.3,280,4.25,0.2,283.3727967,17.33650905,12,12,0.4,4.8,25,Aegilops_kotschyi
