Species,C3C4,MAT,MAP,AI,PET,GST,GSP,GSL,LW,LL,LA,VD1,VD2,VD3,VD4,VD5,VLA1,VLA2,VLA3,VLA4,VLA5,VLAMajor,VLAMinor,VLATotal,VSA1,VSA2,VSA3,VSA4,VSA5,VSAMajor,VSAMinor,VSATotal,VPA1,VPA2,VPA3,VPA4,VPA5,VPAMajor,VPAMinor,VPATotal,VVA1,VVA2,VVA3,VVA4,VVA5,VVAMajor,VVAMinor,VVATotal,CD1,CD2,CD3,CD4,VN5
Chasmanthium latifolium,C3,16.2,1049,0.871,3.47,16.24327587,1049.261079,12,1.27,12.7,16.2,0.0634,0.0481,0.0227,NA,0.0124,0.79,7.88,36.5,NA,7.38,8.67,43.9,52.6,0.0157,0.118,0.26,NA,0.0287,0.134,0.289,0.423,0.005,0.0377,0.0827,NA,0.00914,0.0427,0.092,0.135,0.000251,0.00144,0.00148,NA,0.000089,0.00169,0.00157,0.00326,0.0209,0.0145,0.00424,NA,2.96
Danthonia californica,C3,10.4,1142,0.983,2.98,10.3959891,1142.600035,12,0.4,30.1,12,0.0679,0.0662,0.0256,NA,0.0145,2.5,13.4,46.8,NA,4.28,15.9,51,66.9,0.0533,0.28,0.379,NA,0.0203,0.333,0.399,0.732,0.017,0.089,0.121,NA,0.00647,0.106,0.127,0.233,0.000906,0.00466,0.00247,NA,0.000079,0.00557,0.00255,0.00812,0.0155,0.0147,0.0025,NA,2.33
Danthonia decumbens,C3,7.87,868,1.54,1.6,11.09690284,583.3064164,8,0.4,25.9,10.4,0.0743,0.0761,0.0321,NA,0.0224,2.5,15.3,34.1,NA,6.75,17.8,40.8,58.7,0.0583,0.364,0.344,NA,0.0464,0.422,0.39,0.812,0.0186,0.116,0.109,NA,0.0148,0.134,0.124,0.259,0.00109,0.00691,0.00276,NA,0.000258,0.00801,0.00302,0.011,0.0136,0.0165,0.00306,NA,2.11
Ehrharta calycina,C3,15.6,502,0.396,3.46,14.52851519,453.8682521,10,0.93,47.8,43.6,0.0953,0.0897,0.0254,NA,0.0155,1.11,8.01,30,NA,9.02,9.12,39,48.1,0.033,0.223,0.238,NA,0.0442,0.256,0.282,0.538,0.0105,0.071,0.0756,NA,0.0141,0.0815,0.0897,0.171,0.000788,0.00496,0.00151,NA,0.000182,0.00575,0.00169,0.00744,0.0249,0.0241,0.00543,NA,2.7
Lasiacis sorghoidea,C3,23.2,1923,1.58,3.46,23.24233423,1923.011219,12,3.15,11.7,36.2,0.106,0.0622,0.0318,NA,0.0133,0.33,3.55,26.7,NA,7.55,3.88,34.3,38.1,0.011,0.069,0.263,NA,0.0315,0.08,0.294,0.374,0.00351,0.0219,0.0836,NA,0.01,0.0254,0.0936,0.119,0.000302,0.00108,0.00214,NA,0.000105,0.00139,0.00224,0.00363,0.0227,NA,0.00326,NA,2.3
Nassella viridula,C3,6.7,437,0.431,2.92,14.0394703,345.922847,7,0.33,33.5,11.7,0.0767,0.0737,0.0336,NA,0.0154,3.33,35.2,23.3,NA,4.16,38.5,27.4,66,0.0801,0.808,0.243,NA,0.0201,0.888,0.263,1.151,0.0255,0.257,0.0774,NA,0.00641,0.283,0.0838,0.367,0.00154,0.0148,0.00203,NA,0.000078,0.0164,0.00211,0.0185,0.0185,0.0189,0.00414,NA,1.9
Oplismenus hirtellus,C3,17.4,1212,0.955,3.42,17.38157587,1212.414519,12,1.2,5.07,6.08,0.048,0.0369,0.0228,NA,0.0176,0.83,5.24,28.7,NA,9.22,6.07,37.9,44,0.0126,0.061,0.206,NA,0.05,0.074,0.256,0.33,0.004,0.0194,0.0657,NA,0.0159,0.0234,0.0816,0.105,0.000154,0.00057,0.0012,NA,0.000218,0.00072,0.00142,0.00215,0.0112,0.0123,0.00299,NA,2.91
Oryza sativa,C3,24.1,1593,1.27,3.61,24.08118649,1593.71362,12,0.8,37.2,29.8,0.0812,0.0637,0.0198,NA,0.0117,1.25,11.1,43.9,NA,10.1,12.3,54,66.3,0.0319,0.228,0.284,NA,0.037,0.26,0.321,0.581,0.0102,0.0727,0.0903,NA,0.0118,0.0829,0.102,0.185,0.000649,0.00379,0.0015,NA,0.000108,0.00444,0.00161,0.00605,0.0316,0.0255,0.0052,NA,6.29
Phragmites australis,C3,8.81,760,1.27,1.7,11.15214242,579.8155185,9,1,21.3,22,0.0714,0.0808,0.029,NA,0.0159,1.13,12,34.2,NA,6.46,13.1,40.7,53.8,0.0253,0.3,0.277,NA,0.0322,0.325,0.309,0.634,0.00805,0.0955,0.0881,NA,0.0103,0.104,0.0984,0.202,0.000452,0.00652,0.00216,NA,0.000131,0.00697,0.00229,0.00926,0.0301,0.0275,0.006,NA,3.22
Sacciolepis africana,C3,26.1,1088,0.847,3.71,25.98043883,1013.570882,10,1.23,29.5,37.7,0.0774,0.0905,0.0323,NA,0.0162,0.84,11.1,33.3,NA,7.39,12,40.7,52.6,0.0226,0.321,0.337,NA,0.0381,0.344,0.376,0.719,0.0072,0.102,0.107,NA,0.0121,0.109,0.12,0.229,0.000594,0.00748,0.00273,NA,0.000159,0.00807,0.00289,0.011,0.0436,0.0364,0.0055,NA,3.12
